id,carId,price,gallons,miles,notes,created,,
1,1,33.92,9.531,483.3,NULL,2014-08-29,,
2,1,30.51,8.719,458.3,NULL,2014-09-28,,
3,1,27.89,8.206,394.7,NULL,2014-10-06,,
4,1,23.52,7.87,409.3,NULL,2014-10-30,,
5,1,27.68,9.547,438.8,NULL,2014-11-15,,
6,1,23.14,8.208,361.3,NULL,2014-11-27,,
7,1,20.48,7.589,370.8,NULL,2014-12-04,,
8,1,22.99,9.664,456.1,NULL,2014-12-15,,
9,1,18.72,9.557,425,NULL,2015-01-06,,
10,1,14.01,8.058,365.7,NULL,2015-01-18,,
11,1,14.56,8.37,406.9,NULL,2015-01-29,,
12,1,20.07,10.04,473.7,NULL,2015-02-12,,
13,1,19.19,9.142,422.6,NULL,2015-03-02,,
14,1,20.84,9.79,461.3,NULL,2015-03-20,,
15,1,20.55,9.563,479.4,NULL,2015-04-03,,
16,1,21.8,9.826,482.4,NULL,2015-04-17,,
17,1,22.11,9.618,452.2,NULL,2015-04-28,,
18,1,21.24,8.709,451.3,NULL,2015-05-07,,
19,1,25.64,9.94,551.8,NULL,2015-05-31,,
20,1,24.79,9.765,496,NULL,2015-06-13,,
21,1,20.99,8.075,434.2,NULL,2015-06-26,,
22,1,25.47,9.472,497.5,NULL,2015-07-05,,
23,1,35.6,12.393,637.4,NULL,2015-07-14,,
24,1,27.94,9.982,514.3,NULL,2015-07-31,,
25,1,23.89,8.535,444.8,NULL,2015-08-16,,
26,1,22.42,8.127,407.5,NULL,2015-08-20,,
27,1,24.86,8.29,412.7,NULL,2015-08-29,,
28,1,21.59,9.308,473.2,NULL,2015-10-12,,
29,1,19.58,9.795,486,NULL,2015-10-28,,
30,1,14.67,7.893,383.9,NULL,2015-11-08,,
31,1,16.76,9.163,458.2,NULL,2015-11-22,,
32,1,16.96,9.272,422.1,NULL,2015-12-06,,
33,1,17.14,9.858,460,NULL,2015-12-21,,
34,1,15.97,9.184,417,NULL,2015-12-31,,
35,1,15.32,9.124,416.6,NULL,2016-01-13,,
36,1,15.21,9.166,389.6,NULL,2016-01-18,,
37,1,14.34,8.752,411.1,NULL,2016-01-28,,
38,1,12.95,8.818,423.6,NULL,2016-02-14,,
39,1,15.62,9.77,462.3,NULL,2016-03-02,,
40,1,19.13,10.072,498.9,NULL,2016-03-17,,
41,1,18.72,9.856,479.8,NULL,2016-04-04,,
42,1,18.68,9.535,461.3,NULL,2016-04-20,,
43,1,18.26,8.7,440.2,NULL,2016-05-04,,
44,1,19.17,9.309,441.5,NULL,2016-05-15,,
45,1,19.72,8.969,475.2,NULL,2016-06-21,,
46,1,12.87,5.854,308.9,NULL,2016-07-01,,
47,1,18.42,7.945,356.9,NULL,2016-07-04,,
48,1,20.88,9.409,498.6,NULL,2016-07-09,,
49,1,14.25,6.723,342.2,NULL,2016-07-22,,
50,1,17.96,9.123,458.1,NULL,2016-07-28,,
51,1,17.3,9.06,478.2,NULL,2016-08-12,,
52,1,17.14,7.652,355.5,NULL,2016-08-14,,
53,1,20.35,10.495,541.1,NULL,2016-08-20,,
54,1,15.03,7.373,391,NULL,2016-09-03,,
55,1,19.42,9.077,472.4,NULL,2016-09-15,,
56,1,13.96,7.163,386.4,NULL,2016-09-30,,
57,1,18.99,9.048,425.2,NULL,2016-10-04,,
58,1,19.93,9.584,510.5,NULL,2016-10-21,,
59,1,7.71,4.193,217.8,NULL,2016-11-05,,
60,1,15.04,8.454,428.1,NULL,2016-11-20,,
61,1,14.72,8.273,386.7,NULL,2016-11-30,,
62,1,19.92,9.965,464.6,NULL,2016-12-12,,
63,1,20.75,9.61,429,NULL,2016-12-27,,
64,1,13.68,6.699,307,NULL,2017-01-14,,
65,1,18.51,8.615,414.2,NULL,2017-01-28,,
66,1,12.7,6.419,313.5,NULL,2017-02-04,,
67,1,20.68,9.668,512.7,NULL,2017-03-28,,
68,1,19.2,8.653,436,NULL,2017-04-22,,
69,1,19.19,8.345,387.4,inflated tires,2017-05-02,,
70,1,21.82,10.01,450.8,inflated tires,2017-05-20,,
71,1,10.7,4.656,248.2,NULL,2017-05-27,,
72,1,17.69,7.972,376.7,Drove to Buena Vista,2017-06-03,,
73,1,11.64,5.245,268.1,NULL,2017-06-11,,
74,1,22.03,9.797,514.5,NULL,2017-06-28,,
75,1,16.71,8.117,386.1,Drove to Navajo,2017-07-08,,
76,1,20.35,9.882,497.7,NULL,2017-07-23,,
77,1,8.62,4.107,218.3,NULL,2017-07-30,,
78,1,7.11,3.291,174.8,NULL,2017-08-03,,
79,1,13.28,6.24,316.8,NULL,2017-08-19,,
80,1,21.28,9.336,471.4,NULL,2017-09-02,,
81,1,16.76,7.554,385.8,NULL,2017-09-24,,
82,1,21.39,10.002,481.2,NULL,2017-10-10,,
83,1,12.72,5.89,293.9,NULL,2017-10-21,,
84,1,13.2,5.389,253.7,NULL,2017-10-27,,
85,1,23.62,9.265,381.7,NULL,2017-10-29,,
86,1,21.13,9.071,445.3,NULL,2017-11-04,,
87,1,20.49,8.798,415.4,TIRE PRESSURE LOW,2017-11-18,,
